,LAT,LONG,TIMESTAMP
73,-5.8008,-35.2095,2018-07-31 17:31:50
74,-12.577506,-38.007294,2017-12-20 23:08:36
75,-12.9747,-38.4767,2018-04-16 04:59:16
76,-12.88807,-38.28725,2018-03-31 16:43:24
77,-12.75,-38.1667,2018-03-25 15:30:21
78,-6.7404960938329,-34.929206371307,2018-03-21 01:08:55
80,-27.463244,-48.378975,2018-02-03 21:53:16
81,-7.8366018257497,-34.845214343053,2018-01-15 01:19:17
82,-13.386284220045,-38.905346542633,2017-12-11 16:59:19
83,-23.984699274517,-46.309048913447,2017-11-19 02:05:15
84,-26.768503616615,-48.667829397324,2017-03-05 21:21:15
85,-25.5611835,-49.3081979,2017-02-17 20:51:02
86,-8.2900744641408,-35.038147827935,2016-12-29 19:36:01
87,-14.03711052,-38.94962531,2016-12-21 20:38:45
88,-10.90797,-37.04875,2016-12-12 17:03:37
89,-6.5951432519613,-34.967740579124,2016-12-04 17:41:09
90,-23.85699,-45.41501,2016-11-28 11:57:10
91,-4.0408496886686,-38.196899792558,2016-10-01 18:25:53
92,-3.75733871231,-38.530709775,2016-08-05 03:20:12
93,-8.12038482598,-34.8956035778,2016-07-14 22:39:40
95,-22.5972512,-41.9967478,2021-03-29 17:51:18
98,-13.2833,-38.9667,2021-03-19 16:47:16
100,-23.773761749268,-45.674419403076,2021-02-08 20:34:39
101,-23.43518,-45.0704,2021-02-07 19:00:44
102,-26.242777777778,-48.637777777778,2021-02-06 17:00:06
103,-25.686627184289,-48.472705831641,2021-02-04 19:23:24
105,-29.928436479597,-50.103639323069,2021-01-22 10:05:41
106,-16.28133,-39.02321,2021-01-10 12:03:05
107,-25.380806,-49.2721676,2021-01-06 14:34:58
108,-24.8527,-47.7072,2021-01-04 01:43:18
111,-7.2160580598617,-34.804361612095,2020-12-11 22:52:05
112,-3.6263584899196,-38.728544712067,2020-12-06 18:06:35
115,-14.701812379997,-39.044839020002,2020-11-27 15:49:34
116,-29.755138030084,-50.023326873779,2020-11-21 17:16:39
117,-28.54033957,-49.32219837,2020-11-14 20:40:17
121,-25.873012,-48.575283,2020-11-09 22:40:27
123,-10.9185,-37.0758,2020-11-01 19:19:07
124,-25.599774714443,-48.391339022969,2020-10-27 12:13:13
125,-26.190330463581,-48.528717860742,2020-10-26 23:06:34
127,-26.755170605061,-48.680886166091,2020-10-24 12:35:49
129,-25.873012,-48.575283,2020-10-23 13:12:38
130,-23.9936,-46.2564,2020-10-20 20:12:24
131,-27.7798936152,-48.5088934207,2020-01-17 01:05:42
133,-12.991032477132,-38.484124100772,2020-10-15 19:59:18
134,-16.143359020291,-38.953339803411,2020-09-24 22:39:18
135,-12.772946277006,-38.177836353998,2020-09-12 20:42:31
